Configuration,average_best_objective,average_elapsed_time,diff_with_optimal
Dynamic,26816.0,0.183771,0
ParGA_PopSize_80_Evals300K_CR_0.8,25453.5,12.0194719084,1362.5
ParGA_PopSize_120_Evals300K_CR_1.0,26371.266666666666,14.150767319333335,444.7333333333336
ParGA_PopSize_80_Evals300K_CR_1.0,26048.366666666665,14.155797576166668,767.633333333335
ParGA_PopSize_160_Evals300K_CR_1.0,26565.2,14.168137483400004,250.79999999999927
ParGA_PopSize_120_Evals300K_CR_0.8,25574.133333333335,12.0210968551,1241.866666666665
ParGA_PopSize_40_Evals300K_CR_1.0,25481.833333333332,14.155540918000002,1334.1666666666679
ParGA_PopSize_40_Evals300K_CR_0.8,25241.933333333334,12.025578989166668,1574.0666666666657
ParGA_PopSize_40_Evals300K_CR_0.7,25174.9,10.97691058683333,1641.0999999999985
ParGA_PopSize_120_Evals300K_CR_0.7,25465.633333333335,10.957356679200002,1350.366666666665
ParGA_PopSize_120_Evals300K_CR_0.9,25825.4,13.1035004768,990.5999999999985
ParGA_PopSize_80_Evals300K_CR_0.7,25328.233333333334,10.966753992500003,1487.7666666666664
ParGA_PopSize_160_Evals300K_CR_0.7,25578.533333333333,10.961016803599998,1237.4666666666672
ParGA_PopSize_40_Evals300K_CR_0.9,25313.233333333334,13.099614139933331,1502.7666666666664
ParGA_PopSize_160_Evals300K_CR_0.8,25738.5,12.045736440199999,1077.5
ParGA_PopSize_160_Evals300K_CR_0.9,25958.666666666668,13.12094874976667,857.3333333333321
ParGA_PopSize_80_Evals300K_CR_0.9,25625.633333333335,13.115789403633332,1190.366666666665
