Configuration,average_best_objective,average_elapsed_time,diff_with_optimal
Dynamic,13303.0,0.030374,0
ParGA_PopSize_80_Evals300K_CR_0.7,12610.5,5.638900978300001,692.5
ParGA_PopSize_160_Evals300K_CR_0.8,12885.466666666667,6.1717078924000015,417.53333333333285
ParGA_PopSize_120_Evals300K_CR_0.9,12917.733333333334,6.704683449433334,385.2666666666664
ParGA_PopSize_80_Evals300K_CR_0.9,12782.966666666667,6.703360450700002,520.0333333333328
ParGA_PopSize_80_Evals300K_CR_1.0,13054.666666666666,7.235094257399999,248.33333333333394
ParGA_PopSize_40_Evals300K_CR_0.9,12578.533333333333,6.707007919533333,724.4666666666672
ParGA_PopSize_160_Evals300K_CR_1.0,13243.733333333334,7.238394961100001,59.266666666666424
ParGA_PopSize_120_Evals300K_CR_1.0,13184.466666666667,7.240508683166667,118.53333333333285
ParGA_PopSize_40_Evals300K_CR_0.8,12510.433333333332,6.172997916866667,792.5666666666675
ParGA_PopSize_80_Evals300K_CR_0.8,12698.7,6.172728339200002,604.2999999999993
ParGA_PopSize_160_Evals300K_CR_0.7,12774.0,5.635604172066668,529.0
ParGA_PopSize_40_Evals300K_CR_0.7,12476.4,5.6408611246666664,826.6000000000004
ParGA_PopSize_120_Evals300K_CR_0.8,12759.7,6.1828092976333355,543.2999999999993
ParGA_PopSize_160_Evals300K_CR_0.9,13021.033333333333,6.702385435033333,281.96666666666715
ParGA_PopSize_120_Evals300K_CR_0.7,12682.5,5.636905971266668,620.5
ParGA_PopSize_40_Evals300K_CR_1.0,12698.5,7.237506809500002,604.5
